Time,hotWaterPump,mashStirrer,controllerInfo,mashVolume,boilerValve,cooler,dispenser3,aerator,waterCirculationPump,boilerVolume,wortPump,dispenser4,plateValve,mashTemp,envTemp,boiler,delayTimer,waterHeater,dispenser1,dispenser2,hwtVolume
08:34:05.059048,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,5.25,33.3,1,1,11.9818849564
08:34:10.060877,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,5.33333333333,33.3,1,1,11.9818849564
08:34:15.064649,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,5.41666666667,33.3,1,1,11.9818849564
08:34:20.069905,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,5.5,33.3,1,1,11.9818849564
08:34:25.075157,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,5.58333333333,33.3,1,1,11.9818849564
08:34:30.080417,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,5.66666666667,33.3,1,1,11.9818849564
08:34:35.085698,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,5.75,33.3,1,1,11.9818849564
08:34:40.089544,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,5.83333333333,33.3,1,1,11.9818849564
08:34:45.094037,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,5.91666666667,33.3,1,1,11.9818849564
08:34:50.099346,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,6.0,33.3,1,1,11.9818849564
08:34:55.104611,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,6.08333333333,33.3,1,1,11.9818849564
08:35:00.108645,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,6.16666666667,33.3,1,1,11.9818849564
08:35:05.113916,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,6.25,33.3,1,1,11.9818849564
