Time,hotWaterPump,mashStirrer,controllerInfo,dispenser2,boilerValve,cooler,dispenser3,aerator,waterCirculationPump,boilerVolume,wortPump,dispenser4,plateValve,dispenser1,envTemp,boiler,delayTimer,waterHeater
14:31:10.848183,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,122.675,209.8625,35.5,122.225
14:31:16.537960,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,122.675,209.8625,35.6,122.225
14:31:22.230908,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,122.675,209.8625,35.7,122.1125
14:31:28.433083,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,122.675,209.8625,35.8,122.225
14:31:35.127180,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,120.65,209.8625,35.9,122.3375
14:31:41.318109,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,111.9875,209.8625,36.0166666667,122.45
14:31:47.885068,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,107.4875,209.975,36.1,122.5625
14:31:54.087908,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,104.0,209.975,36.2166666667,122.675
14:31:59.480332,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,100.9625,209.8625,36.3,122.675
14:32:05.177039,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,97.925,209.8625,36.4,122.7875
14:32:11.376576,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,96.575,209.8625,36.5,122.7875
14:32:17.065547,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,99.275,209.8625,36.6,122.7875
14:32:22.755394,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,96.0125,209.8625,36.7,122.7875
14:32:28.437841,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,92.975,209.8625,36.8,122.7875
14:32:34.626556,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,90.3875,209.8625,36.9,122.7875
14:32:40.314609,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,88.475,209.8625,37.0,123.0125
14:32:46.508813,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,86.9,209.8625,37.0833333333,123.125
14:32:53.201820,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,86.225,209.8625,37.2,123.125
14:32:59.393970,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,84.0875,209.8625,37.3166666667,123.2375
14:33:05.091547,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,83.1875,209.8625,37.4,123.125
14:33:11.283700,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,82.2875,209.8625,37.5,123.125
14:33:16.975182,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,81.6125,209.8625,37.6,123.125
14:33:23.171816,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,81.3875,209.8625,37.7,123.2375
14:33:28.864328,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,80.375,209.8625,37.8,123.2375
14:33:34.561562,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,79.7,209.8625,37.9,123.35
14:33:40.763848,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,79.25,209.8625,38.0,123.35
14:33:46.465318,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,78.8,209.8625,38.1,123.35
14:33:52.664858,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,78.4625,209.8625,38.2,123.35
14:33:58.353323,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,78.125,209.8625,38.2833333333,123.35
14:34:04.552143,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,77.9,209.8625,38.3833333333,123.2375
14:34:10.752553,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,77.45,209.8625,38.5,123.2375
14:34:17.441005,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,77.0,209.8625,38.6,123.2375
14:34:23.129281,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,76.6625,209.8625,38.7,123.2375
14:34:29.329333,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,76.55,209.8625,38.8,123.2375
14:34:35.016942,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,76.2125,209.8625,38.9,123.2375
14:34:41.593988,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,75.7625,209.8625,39.0,123.2375
14:34:46.984582,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,75.5375,209.8625,39.1,123.2375
14:34:52.672230,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,75.3125,209.8625,39.2,123.2375
14:34:58.862976,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,75.2,209.8625,39.3,123.2375
14:35:04.556114,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,74.975,209.8625,39.3833333333,123.125
14:35:10.744949,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,74.8625,209.8625,39.5,123.0125
14:35:16.435378,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,74.6375,209.8625,39.5833333333,123.125
14:35:22.130583,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,74.4125,209.8625,39.7,123.125
14:35:28.329709,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,74.1875,209.8625,39.8,123.2375
14:35:34.018207,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,74.075,209.8625,39.8833333333,123.125
14:35:40.204182,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,73.85,209.8625,39.9833333333,123.125
14:35:45.891620,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,73.7375,209.8625,40.0833333333,123.125
14:35:52.128228,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,73.7375,209.8625,40.1833333333,123.0125
14:35:58.130676,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,73.5125,209.8625,40.2833333333,123.0125
14:36:03.522320,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,73.4,209.8625,40.3833333333,123.0125
14:36:09.708944,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,73.2875,209.8625,40.4833333333,123.0125
14:36:15.406349,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,73.2875,209.8625,40.5833333333,122.9
14:36:21.596865,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,73.175,209.8625,40.6666666667,122.9
14:36:27.280510,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,73.175,209.975,40.7666666667,122.9
14:36:33.471734,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,73.175,209.8625,40.8666666667,122.9
14:36:39.164465,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,73.0625,209.8625,40.9666666667,123.0125
14:36:44.859390,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,73.0625,209.975,41.0666666667,123.0125
14:36:51.552350,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,73.0625,209.975,41.1666666667,123.0125
14:36:58.243631,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,72.95,209.8625,41.2833333333,122.9
14:37:03.978869,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,72.95,209.8625,41.3833333333,122.7875
14:37:09.675688,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,72.95,209.975,41.4833333333,122.7875
14:37:16.173145,0,0,0,1,0,209.8625,1,0,0,13.9050401691,0,1,0,0,72.95,209.975,41.5833333333,122.7875
14:37:21.551233,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,72.95,209.975,41.6833333333,122.7875
14:37:28.247759,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,73.0625,209.975,41.7833333333,122.7875
14:37:34.522338,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,73.2875,209.975,41.9,122.675
14:37:41.211497,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,73.4,209.975,42.0,122.7875
14:37:47.910652,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,73.5125,209.975,42.1166666667,122.675
14:37:53.608996,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,73.7375,209.975,42.2,122.675
14:37:59.297723,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,73.85,209.975,42.3166666667,122.675
14:38:05.004387,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,73.85,209.975,42.4,122.675
14:38:11.200649,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,73.9625,209.975,42.5166666667,122.675
14:38:17.895658,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,73.9625,209.975,42.6166666667,122.675
14:38:24.097321,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,73.9625,209.975,42.7166666667,122.675
14:38:29.788374,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,73.9625,209.975,42.8166666667,122.5625
14:38:36.065929,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,73.9625,209.975,42.9166666667,122.5625
14:38:42.264772,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,74.075,209.975,43.0166666667,122.5625
14:38:47.959415,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,74.075,209.975,43.1166666667,122.5625
14:38:54.158494,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,74.075,209.975,43.2166666667,122.5625
14:38:59.848123,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,74.075,209.975,43.3166666667,122.5625
14:39:05.539359,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,74.1875,209.975,43.4166666667,122.5625
14:39:13.038058,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,74.1875,209.975,43.5166666667,122.45
14:39:18.927133,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,74.1875,209.975,43.6333333333,122.45
14:39:24.931354,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,74.1875,209.975,43.7333333333,122.45
14:39:30.319977,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,74.1875,209.975,43.8333333333,122.5625
14:39:36.005795,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,74.3,209.975,43.9166666667,122.45
14:39:42.215563,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,74.3,209.975,44.0333333333,122.5625
14:39:48.910661,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,74.3,209.975,44.1333333333,122.5625
14:39:55.106816,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,74.3,209.975,44.2333333333,122.5625
14:40:00.796024,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,74.4125,209.975,44.3333333333,122.5625
14:40:06.981025,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,74.4125,209.975,44.4333333333,122.45
14:40:13.474443,0,0,0,1,0,209.975,1,0,0,13.9050401691,0,1,0,0,74.525,209.975,44.5333333333,122.45
